,industry,function,usecase,paragraph_id,sentence,usecase_indication
1677,impact,impact,impact,1677,i ,0.07814495
1692,price and product optimization,price and product optimization,price and product optimization,1692,i ,0.07814495
1752,personalization,radical personalization,radical personalization,1752,i ,0.07814495
1701,maintenance,predictive maintenance,predictive maintenance,1701,i ,0.07814495
1475,disease,disease patterns,disease patterns,1475,i ,0.07814495
1745,price and product optimization,price and product optimization,price and product optimization,1745,i ,0.07814495
1743,predictive analytics,predictive analytics,predictive analytics,1743,i ,0.07814495
233,sellers and buyers,hyperscale platforms,hyperscale platforms can match supply and demand,233,platforms such as uber lyft and chinese ride sharing giant didi ,0.0781126
726,data generation or aggregation,data generation or aggregation,value will tend to accrue to firms doing analysis and only under certain conditions to those providing data generation or aggregation,726, market intelligence market intelligence data is compiled with an economy wide ,0.077212796
244,financial services,advanced analytics,"companies in other sectors can become part of the financial services ecosystem if they bring in orthogonal data — such as non - financial data that provides a more comprehensive and detailed view of the customer . these players may have large customer bases and advanced analytics capabilities created for their core businesses , and they can use these advantages to make rapid moves across sector boundaries",244,it can enable better cross selling the development of personalized products dynamic pricing better risk assessment and more effective marketing and it can help firms achieve more competitive cost structures than many incumbent institutions ,0.072610855
127,[SEP],executive,executive,127, us health care to date only to percent of the opportunities we outlined in have been realized by the us health care sector ,0.07015701
569,opportunities,opportunities,opportunities still uncaptured,569,france has automated ,0.060120918
787,energy and inovalon in health care,insurance,add analytics to claim a piece of this high - value segment of the market,787,search platforms generate data when users search which enables their search algorithms to produce higher quality results which draws more users to using the search engine and on and on ,0.059558652
1717,r & d and testing,r & d and testing,identify critical factors to reduce number of required experiments,1717,the ,0.057576302
692,raw data and actual application of data - derived insights,data - derived insights,to use data to grow and improve performance,692,new software enables users to make clear and intuitive visualizations from simpler data ,0.052769456
576,process,process redesign,process redesign,576,optum within unitedhealth saves employers money by combing claim records for over prescriptions ,0.045465562
803,inefficient signaling,inefficient signaling,inefficient signaling,803,in insurance for example corelogic has used its data assets to develop catastrophic risk management products in this case complex robust catastrophe risk scores that are sold to insurers ,0.04119185
290,problem types,problem types,problem types,290,generation ,0.03271917
315,documentation,documentation,reduced the budget,315,generation ,0.03271917
1272,telecom,telecom,optimize capital expenditures,1272,generation ,0.03271917
1224,12,business use cases,the,1224,generation ,0.03271917
1054,economic,economic,economic,1054,massive data integration repositories and the analytics they enable can also optimize banking operations and increase revenue exhibit ,0.030097565
976,health - care costs,adoption,reduction in us health - care costs,976, elizabeth stawicki talking scales and telemedicine aco tools to keep patients out of the hospital kaiser ,0.025945583
940,hospitals,radical personalization,"using granular , individual data to identify tailored treatments",940,others include household chores and errands data entry and simple coding projects ,0.019143732
1201,predictive maintenance,predictive maintenance,predictive maintenance,1201,they recognize patterns in the training data to develop a model of the world being described by the data ,0.013643674
182,technology,technology,changing the nature of competition and consolidating big advantages,182,data can also come from the web social media industrial sensors payment systems cameras wearable devices and human entry ,0.013045314
1631,data,data,data richness,1631,linearly projecting integrated postsecondary education data system degree completion data we expect between nine million and ten million stem plus business graduates between now and ,0.0029488977
58,data,data - driven,competing in a data - driven world,58,hyperscale digital platforms can match buyers and sellers in real time transforming inefficient markets ,0.0019937183
508,penetration of gps - enabled,gps - enabled,penetration of gps - enabled,508,this chapter revisits the five domains we highlighted in our report to evaluate their progress toward capturing the potential value that data and analytics can deliver ,0.0006192725
165,automating,automating,automating,165, the need to lead in data and analytics mckinsey company survey mckinsey com april available at and analytics ,2.022352e-05
641,america,"america - lst _ kq0 , 20 . htm",what is main idea ? [SEP],641,it infra structure ,-0.0072828056
1668,forecasting,forecasting,forecasting,1668,in particular radical personalization in media and predictive maintenance in energy appear to be higher impact ,-0.009922166
432,"digital universe in 2020 , idc , february 2013 . 17 andrew perrin , one - fifth of americans report going online",online,the digital universe,432, getty images ,-0.022487896
693,data generation,high - value uses,"as data become easier to collect and as storage costs go down , many types of data will become increasingly commoditized",693,sam ransbotham david kiron and pamela kirk prentice the talent dividend analytics talent is driving competitive advantage at data oriented companies mit sloan management review april ,-0.0369315
175,[SEP],executive,executive,175,sam ransbotham david kiron and pamela kirk prentice the talent dividend analytics talent is driving competitive advantage at data oriented companies mit sloan management review april ,-0.0369315
229,[SEP],executive,executive,229,within the other ,-0.037907
554,"clinical operations , accounting and pricing , r & d , new business models , and public health",public health,rapid expansion of electronic medical records,554,real time information from its stores allowed globus a department store chain in switzerland to update its product mix and respond quickly to customer demand ,-0.038374092
198,data aggregation,data aggregation,data aggregation,198, assets are underutilized due to ,-0.049532756
819,data - driven discovery,data - driven discovery,data - driven discovery,819, assets are underutilized due to ,-0.04953285
861,transportation,hyperscale real - time matching,hyperscale real - time matching,861,and they could make labor markets more efficient altering the way employers and workers connect for both traditional jobs and independent work ,-0.050656166
1202,hyper - personalization,hyper - personalization,hyper - personalization,1202,first tackling classification problems involves making observations about the world such as identifying objects in images and video or recognizing text and audio ,-0.05457301
1337,multiple,multiple,what is main idea ? [SEP],1337,machine learning algorithms identified broad mispricing across the company’s portfolio with percent of it mispriced by percent or more ,-0.06434494
1177,mc,analysis,analysis,1177, susan lund james manyika and kelsey robinson managing talent in a digital age mckinsey quarterly ,-0.068676546
368,%,%,capability is the only gap,368,this includes examples such as triaging customer service calls segmenting customers based on risk churn and purchasing patterns identifying fraud and anomalies in banking and cybersecurity and diagnosing diseases from scans biopsies and other data ,-0.07532828
296,"identifying objects in images and video , and recognizing text and audio","classification , prediction / estimation , and generation ( exhibit e5 ) . classification problems are about observing the world , including identifying objects in images and video , and recognizing text and audio . classification also involves finding associations in data or segmenting it into clusters , which is useful in tasks such as customer segmentation . machine learning can also be used to predict the likelihood of events and forecast outcomes . lastly , it can be used to generate content",observing the world,296,machine learning can help solve classification prediction and generation problems ,-0.08668506
1205,discover new trends / anomalies,discover new trends,discover new trends / anomalies,1205,machine learning can help solve classification prediction and generation problems ,-0.08668506
1626,algorithms,algorithms,higher volumes of data mean more data points for the algorithms,1626,we then multiply this share by the bureau of labor statistics bls employment for each soc ,-0.09011511
1118,insurance,insurance,"predicting which customers will prove to be most valuable , preventing employee attrition , scheduling maintenance in time to prevent breakdowns , and detecting fraud",1118,vast amounts of email calendar locational and other data are available to understand how people work together and communicate and all of these data can lead to new insights about improving performance ,-0.09224038
125,manufacturing,manufacturing,manufacturing,125,of the potential value has been captured in the public sector and health care ,-0.09259233
190,financial products and services,"financial products and services , while google is developing autonomous cars",barter system,190,proxies now exist for data that were once scarce google trends for instance offers a free proxy for public sentiment data that previously would have been collected through phone surveys ,-0.09273407
492,location - based services and in retail,digital native,potential for value creation,492,these disrupters used their digital data and analytics assets to create value without owning physical shops cable connections to viewers’ homes car fleets hotels or bank branches respectively ,-0.10049695
232,business models and improve performance .,orthogonal data being combined with existing data to create new business models,improve performance,232,digital platforms provide marketplaces that connect sellers and buyers for many products and services ,-0.10614327
484,"entering new markets or changing their business models . at the same time , they have to maintain a focus on using data and analytics",revenue and the cost side,"they have to keep thinking ahead , whether that means entering new markets or changing their business models . at the same time , they have to maintain a focus on using data and analytics to improve their core business . this may involve identifying specific use cases and applications on the revenue and the cost side , using analytics insights to streamline internal processes , and building mechanisms for constant learning and feedback to improve . pursuing this two - part strategy should position any organization to take advantage of opportunities and thwart potential disruptors",484,digitizing customer interactions provides a wealth of information for marketing sales and product development while internal digitization generates data that can be used to optimize operations and improve productivity ,-0.10941211
1147,data and analytics,analytics,the impact of data and analytics,1147, accuracy ,-0.11050013
793,blue jean images / getty images,what kind of application ? [SEP],what is main idea ? [SEP],793,each one submits standardized data and argus summarizes the inputs as industry averages ,-0.111147925
802,▪ assets are underutilized,disruption : ▪ assets are underutilized,disruption,802,performing analytics that support predictive maintenance for example requires a deep understanding of how machines work ,-0.11196072
925,goods / services,customized,allow businesses to estimate relationships between individual characteristics and improved value from customized goods / services,925,miles traveled today ,-0.12220482
1464,levers,levers,levers,1464,a forthcoming mgi research report on automation will address the potential pace of automation in different economies ,-0.12473631
945,health care,radical personalization,radical personalization,945,by gathering and analyzing an increasing wealth of data businesses get to know their customers at a deeper level ,-0.12847103
483,banks and telecom,search engine,looking for ways to make radical moves into other industries,483,analytics capabilities are already leading to new business models and reshaping industry competition ,-0.13763246
556,pharmaceutical industry,contract research,reduce the time and cost of clinical trials,556,amazon is mining ,-0.14424461
481,december,2015,what is main idea ? [SEP],481,nosql databases offer alternatives to relational databases allowing for the collection and storage of various types of unstructured data such as images text audio and other rich media ,-0.14694412
1119,cars,analytics,analytics,1119,in product innovation data and analytics can transform research and development in areas such as materials science synthetic biology and life sciences ,-0.1478253
248,[SEP],executive,executive,248,in product innovation data and analytics can transform research and development in areas such as materials science synthetic biology and life sciences ,-0.1478253
90,applications and opportunities,transformational potential of big data,"transformational potential of big data . 1 five years later , we remain convinced that this potential has not been overhyped",90,revisiting them today shows both uneven progress and a great deal of that value still on the table exhibit ,-0.15045658
118,utility,utility,utility to gain acceptance,118, location based services gps enabled smartphones have put mapping technology in the pockets of billions of users ,-0.15186545
1103,analytics,analytics,analytics,1103,first are the solution and analytics innovators ,-0.15828927
1716,manufacturing,"determine root causes for quality issues developed outside of manufacturing ( e . g . , during delivery , in supply chain",determine root causes for quality issues developed outside of manufacturing,1716, volume of data higher volumes of data mean more data points for the algorithms to learn from and thus fewer barriers to capture the use case ,-0.15884066
1000,mc,analysis,analysis,1000,throughout the system ,-0.16322285
480,big data,big data,getting a better read on performance,480,pande lab for example ,-0.1690522
908,logistics industry,mapping technology and algorithms,improve the efficiency of trucking routes and handoffs in the logistics industry,908,by boosting the utilization of each vehicle mobility services can decrease demand for parking and help reduce congestion which creates further positive ripple effects on mobility and time saved ,-0.17373051
708,advertising technology firms and social media networks,advertising technology,it is critical to have the capability to cut through the noise with effective analysis,708,proliferating data sources including sensors and social media platforms are creating torrents of information ,-0.18082753
246,process innovation,process innovation,understanding this variance and how to build more effective collaboration is a huge opportunity for organizations,246,one of the main components of productivity growth innovation can be applied to both processes and products ,-0.18093997
781,mapping value in data ecosystems,mapping,mapping value in data ecosystems,781,certain types of data that were expensive to obtain in previous years are now free such as encyclopedia sets replaced by wikipedia ,-0.18312934
682,data,data and analytics,monetize data and add value,682,professional services is an ,-0.1832415
1007,colleges,big data,colleges are using big data to identify when students are likely to flame out,1007,researchers at university college london for example use supercomputer simulations to determine the best treatment for specific breast cancer mutations among drug choices ,-0.19172162
1047,analytics and data discovery,analytics,"stores practically unlimited amounts of data of any format and type ▪ silos minimized , and single source of truth accessible by whole organization",1047, danielle douglas gabriel colleges are using big data to identify when students are likely to flame out ,-0.19412522
1108,engineers and architects,"building information modeling systems , which create digital models of structures under design , employ analytics",consistency can reduce costly errors,1108,data sharing partnerships between banks and telecom companies have helped both sides develop new insights especially around fraud customer creditworthiness and microsegments of customers that otherwise would not have been possible ,-0.1951544
998,better care,better care,better care,998,a doctor today sees a patient with asthma by contrast tomorrow’s doctor will see an asthmatic patient who works outdoors exercises daily has certain genetic markers and shows elevated expression of a few proteins ,-0.19557963
1371,natural language understanding,natural language understanding,natural language understanding,1371,in media artificial intelligence bots are already generating simple news and sports summary articles ,-0.19622134
1661,e,what kind of application ? [SEP],e,1661,for cost baseline numbers of the industry we use the mckinsey panorama global banking database to obtain the baseline separately for developed and emerging markets estimates for interest revenue fee revenue and risk cost cost to income ratio estimates for converting the revenue into operating cost ,-0.2002174
941,talking scales and telemedicine,aco,to keep patients out of the hospital,941,as of almost workers participated on this platform increasing their earnings by more than three and a half times ,-0.20516255
1312,"retail worker only , we analyzed some 2 , 000 activities across all occupations","retail worker only , we analyzed some 2 , 000 activities across all occupations",activities performed by a retail worker,1312,first is the radical personalization of products and services for customers ,-0.20559081
455,"store , communicate , and compute",compute,"the world ’ s technology capacity to store , communicate , and compute",455,data is generated by everything from cameras and traffic sensors to heart rate monitors enabling richer insights into human behavior ,-0.2086119
1117,energy and water demand management,structural monitoring,using analytics to make utilities more responsive in real time,1117,data and analytics can transform discovery and innovation ,-0.2104403
206,data and analytics,data and analytics,disruptive models,206,r d is core to the business model ,-0.21158224
827,"automobile , property , and casualty",analytics,bringing orthogonal data to bear can change the basis of competition data,827,r d is core to the business model ,-0.21158226
654,high,high,high,654,respondents in location based data services the area highlighted in our research that has made the greatest progress in capturing value reported relatively low barriers in it infrastructure an area where heavy investment has paid off ,-0.21364652
1367,exhibit,exhibit,exhibit,1367,note while this example illustrates the activities performed by a retail worker only we analyzed some activities across all occupations ,-0.21403277
203,analytics,analytics,combining,203,data is siloed or fragmented ,-0.21751902
824,"banking , insurance , retail , the public sector , and beyond","education , and even political campaigns . in industries where integrating more and better data can dramatically improve performance — such as banking , insurance , retail , the public sector , and beyond — the organizations that master this capability can realize major advantages . data and analytics could similarly shake up industries where the business model is built on innovation and discovery . machine learning and deep learning could fuel everything from drug development to engineering to user experience and design","new players could change the game by using finer behavioral data to customize products , services , and marketing for individuals",824,data is siloed or fragmented ,-0.21751902
473,"strategy , marketing , sales , and product development","digitizing customer interactions provides a wealth of information that can feed into strategy , marketing , sales , and product development",digitizing customer interactions,473, martin hilbert and priscila l pez the world’s technology capacity to store communicate and compute ,-0.2208657
915,choice,digital,connecting talent with opportunity,915,and alcohol related motor vehicle homicide temple university fox school of business research paper number january ,-0.22350895
1636,i,what kind of application ? [SEP],i,1636,we focused on three primary categories to structure our approach cost savings for consumers vehicle purchasers drivers time savings for consumers and benefits for the broader public ,-0.22631215
972,drugs,clinical decision support systems,identifying the right treatment for each patient,972,the data describing an individual patient’s health are becoming much more granular with the declining costs of genetic sequencing the advent of proteomics the analysis of proteins and the increasing number of sensors monitors and diagnostics that can provide a constant stream of real time data ,-0.2321823
252,every industry,conventional,to give the algorithm a massive number of “ experiences ” ( training data ) and a generalized strategy for learning,252,advanced analytical support tools can flag potential allergies or dangerous drug interactions for doctors and pharmacists alike ensuring that their decisions are consistent and reliable ,-0.23241232
1339,natural language understanding,natural language understanding,natural language understanding,1339,tremendous potential for real time optimization remains untapped for many companies in functions such as managing distribution networks managing inventory and timing procurement ,-0.23474431
1143,"better matching , training , and maximizing of talent",training,"higher productivity can come from better matching , training , and maximizing of talent",1143,job seekers and employers will have greater transparency that enables them to make better matches ,-0.23707215
254,12,business uses,to set the stage for future research,254,deep learning a frontier area of research within machine learning uses neural networks with many layers hence the label deep to push the boundaries of machine capabilities ,-0.23740338
1426,creating value for end users,creating value for end users,creating value for end users,1426,they are still a black box ,-0.24703088
946,patients progress along a standardized disease treatment,standardized disease treatment,patients progress along a standardized disease treatment pathway,946,behavioral data gathered from diverse sources such as online activity social media commentary and wearables can yield personal preferences and insights ,-0.24880886
1056,"data , analytics , and digital",data,data,1056,retail banks have opportunity to break their data silos combining traditional and new data sources in data lakes ,-0.25129616
192,"web , social media , industrial sensors , payment systems , cameras , wearable devices , and human entry",on,data can provide insights for diverse uses,192, for example when aggregating involves coordinating access across diverse sources ,-0.25297847
251,doctors,prevention of medical errors,"prevention of medical errors . advanced analytical support tools can flag potential allergies or dangerous drug interactions for doctors and pharmacists alike , ensuring that their decisions are consistent and reliable . and finally , perhaps no area of human decision making is quite as opaque and clouded by asymmetric information as hiring . data and analytics have the potential to create a more transparent labor market",251,algorithms can support and enhance human decision making ,-0.25909445
984,range,range,range,984,physicians follow clinical guidelines for all patients with the same disease ,-0.27219906
1625,data richness available for each of the 300 total use cases,use cases,data richness,1625,also we did not include skills such as python because python is also listed as a skill for many other roles e g software developer and hadoop which we consider to be more characteristic of the roles of data architects and engineers ,-0.27261415
936,matching complexity,matching complexity,matching complexity,936,rivigo has applied mapping technology and algorithms to improve logistics efficiency in parts of india ,-0.27406317
854,2016,rec,what is main idea ? [SEP],854,bringing orthogonal data to bear can change the basis of competition ,-0.27809098
1644,[SEP],what kind of application ? [SEP],what is main idea ? [SEP],1644,by individuals in both developed and developing regions and assumed percent of this time could be spent productively ,-0.28458524
1274,public sector,public sector,optimize resource allocation,1274,we plotted the top use cases across industries in exhibit ,-0.28722987
772,generators and collectors of data,generators and collectors of data can capture significant value,"simply selling raw data is likely to generate diminishing returns over time . but in situations where these constraints exist ( or where a business model creates them ) , generators and collectors of data can capture significant value",772,data generation and collection is the starting point ,-0.28749976
331,personal,personalize,personalize,331,we plotted the top use cases in exhibit ,-0.28977558
591,sandbox,sandbox,sandbox,591,organizations may choose to add in house capabilities or to outsource to specialists see below for more on the talent shortage ,-0.2938741
193,corporate profits,global competition for corporate profits,playing to win : the new global competition for corporate profits,193,data aggregators are offering to integrate clients’ data and perform analysis as a service ,-0.29389068
1469,remote patient monitoring,remote patient monitoring ▪ advanced,remote patient monitoring,1469,this appendix provides details on the methodology employed in our research ,-0.29852846
1313,mc,analysis,analysis,1313,chapter discussed the enormous potential associated with bringing this capability to health care but it also has tremendous scope in sectors such as consumer packaged goods media finance and education all areas where organizations can create huge value by tailoring their offerings to suit the preferences characteristics and needs of each person they serve ,-0.30004308
580,modeling,modeling,modeling insights,580,the cost of sequencing a genome today as a share of the cost in ,-0.3157874
999,national health expenditures,national health expenditures,national health expenditures,999, payers payers can use data and analytics to promote increased price transparency ,-0.32291505
1161,engineering and economics,solving dynamic optimization and control theory problems,to identify the best actions to take now in order to reach some future goal,1161,summing up the benefits across other insurance industries and lives saved would indicate economic benefits in the hundreds of billions of dollars globally ,-0.32293898
122,retail,transaction - based,retailers can mine a trove of transaction - based and behavioral data,122,of the potential value we estimated in and,-0.32432672
1126,"medicine , drug interactions and incorrect dosages",advanced analytical support tools,reducing errors in drug prescriptions in medicine,1126,analytics can overcome human limitations to improve the speed accuracy consistency and transparency of decisions ,-0.32495335
194,[SEP],executive,executive,194,six disruptive data driven models and capabilities are reshaping ,-0.32976767
939,"personalized risk assessment , diagnosis , treatment , and monitoring","personalized risk assessment , diagnosis , treatment , and monitoring","advanced analytics could transform standardized disease treatments into personalized risk assessment , diagnosis , treatment , and monitoring",939,vandebron for instance charges a fixed subscription fee to connect consumers with renewable energy providers in this service provided electricity to about dutch households ,-0.33105433
1718,mc,analysis,analysis,1718,the different types of data that we scored were transactions virtual transactions including ones in the conventional sense as well as other key metrics such as web page visits social audio video images iot sensor data scientific engineering data from experiments simulations mobile location actual location based data from mobile devices and archives historical records mostly physical ,-0.3314354
500,eu public sector3,public sector,eu,500,furthermore banks and telecom companies are sharing data to drive new products and to improve core operations such as credit underwriting customer segmentation and risk and fraud management ,-0.33174065
542,operations and supply - chain levers,"making performance more transparent , optimizing staffing levels , improving sourcing , and streamlining shipping and transport",making performance more transparent,542,our report estimated that service providers had roughly billion to billion in revenue at stake from three major sources gps navigation devices and services mobile phone location based service applications and geo targeted mobile advertising services ,-0.33814022
699,"web , social media , industrial sensors , payment systems , cameras , wearable devices , and human entry",web,how the data are generated and therefore affect their supply,699,and lastly liability frameworks surrounding the use of data and analytics still need to be clarified ,-0.33998698
1051,retail banking,data,data - driven transformation,1051,retail banking has always been data rich with stores of information on customers’ transactions financial status and demographics ,-0.3444623
860,exhibit,exhibit,exhibit,860,hyperscale platforms can match supply and demand in real time ,-0.34569496
948,high - cost settings,high - cost settings,high - cost settings,948,radical personalization will be disruptive in areas where tailoring offerings to personal preferences and characteristics is highly valued ,-0.34589276
866,consumer,consumer benefits,consumer benefits,866,this includes only real time matching platforms and excludes the potential effects of autonomous vehicles ,-0.34684384
626,public sector,public sector,public sector,626,which of these have been among the top most significant challenges to your organization's pursuit of its data and analytics objectives ,-0.35195264
867,rides,productive time,productive time,867,exhibit indicates that almost one third of new car buyers living in urban areas in the united states the segment who travel less than miles per year would come out ahead in their annual transportation costs by forgoing their purchase and relying instead on ride sharing services ,-0.35253966
488,photoalto / odilon dimier / getty images,what kind of application ? [SEP] © photoalto / odilon dimier / getty images,what is main idea ? [SEP] © photoalto / odilon dimier / getty images,488,retail sector and health care are lagging behind in measures of digitization and in analytics usage ,-0.35330585
1643,l,l,what is main idea ? [SEP],1643, productive time during rides time savings we estimated the total time spent driving ,-0.3585082
698,knowledge and intellectual property,loyalty,"non - rivalrous nature — that is , the same piece of data can be used by more than one party simultaneously",698,in health care for example providers and pharmaceutical companies could stand to lose from greater data sharing with payers ,-0.35860386
1120,insurance industries,"property insurance are using sensors on water pipes or in the kitchen to identify predictors of pipe leaks or breaks , flooding , or fires , and to warn the homeowners",reduced,1120,they can experiment with variables such as the optimal design and placement of content on a web page smart recommendations user journeys and various types of a b testing ,-0.35984233
1375,dwas,automated,could be automated,1375, of dwas where this capability is the only gap ,-0.36793706
377,natural language understanding,natural language understanding,natural language understanding,377, of dwas where this capability is the only gap ,-0.36793706
709,market intelligence,market intelligence,market intelligence,709,but how much is all this data worth ,-0.36910918
91,"digital platforms , wireless sensors , and billions of mobile phones",mobile phones,the convergence of several technology trends is accelerating progress,91,incentive problems and regulatory issues pose additional barriers to adoption in the public sector and health care ,-0.36911148
179,"data scientists , assuming their presence alone will enable an analytics transformation . but another equally vital role is that of the business translator who serves as the link between analytical talent and practical applications to business questions . in addition to being data savvy , business translators need to have deep organizational knowledge and industry or functional expertise",practical,assuming their presence alone will enable an analytics transformation,179,amazon challenged the rest of the retail sector without building stores ,-0.36928043
467,government,government,digitization tends to be correlated with data and analytics capabilities since it is a crucial enabler of data generation and collection,467,new machine learning application program interfaces apis such as microsoft’s ml api enable users to implement machine learning in new areas ,-0.37103403
1046,banks,banks,banks,1046,data lakes can integrate ,-0.37364092
1369,multiple,multiple,what is main idea ? [SEP],1369,recognizing known patterns by itself is needed in percent of all repeats in apx activities to varying degrees that is a fundamental capability of machine learning ,-0.37961805
132,clinical operations,analytics,deliver personalized medicine,132,where digital native companies were built for analytics legacy companies have to do the hard work of overhauling or changing existing systems ,-0.38151616
426,"data collection , machine learning , and computational power",analytics,turning this flood of raw data into insights,426,also decision makers and customers may not buy into insights generated in a non transparent way especially when those insights are counterintuitive ,-0.38189808
864,fewer vehicle purchases,fewer vehicle purchases,fewer vehicle purchases,864,uber founded in is now in more than ,-0.38645515
653,supply and demand of data scientists,data,supply and demand,653, business translators who can bridge between analytics and other functions were reported to be the most difficult to find followed by data scientists and engineers ,-0.38967004
696,corporate profits,global competition for corporate profits,playing to win : the new global competition for corporate profits,696,data aggregators have found ways to monetize information governments have opened public data sets and created open data frameworks and new data sources have continued to proliferate firms such as truven and explorys are monetizing medical claims data utilities are sharing detailed information on energy consumption and sensors embedded in the urban environment are generating valuable data to help manage traffic and complex infrastructure systems ,-0.3956969
656,new,new graduates,new graduates,656,talent remains a critical constraint ,-0.39870718
848,new owned car vs . e - hailing,e - hailing,new owned car vs . e - hailing,848,digital platforms that offer large scale real time matching with dynamic pricing could revolutionize markets with these ,-0.40014476
1198,conventional,conventional neural networks,neural networks,1198,to identify high impact arenas we categorized what types of problems machine learning techniques are best suited to solve ,-0.4031137
126,research and design,design - to - value,design - to - value,126, the eu public sector our report analyzed how the european union’s public sector could use data and analytics to make government services more efficient reduce fraud and errors in transfer payments and improve tax collection potentially achieving some billion worth of annual savings ,-0.40664786
851,urban users,urban,"traveling less than 13 , 000 miles per year",851,in markets where incumbents have traditionally relied on broad demographics or blunt measures to segment customers new players could change the game by using finer behavioral data to customize products services and marketing for individuals ,-0.41003156
911,energy markets,"smart grid technology can address this inefficiency by using new sensor data to generate more dynamic matching of supply and demand , in part by allowing small , private energy producers ( even individual homeowners ) to sell excess capacity back to the grid . this technology is developing quickly : the united states alone has committed more than $ 9 billion in public and private funds toward smart grid technology since 2010 . 73 in the netherlands , some startups are using the peer - to - peer model to match individual households directly with small providers ( such as farmers ) who produce excess energy . vandebron , for instance , charges a fixed subscription fee to connect consumers with renewable energy providers",allowing,911,automakers are the biggest question mark as the calculus of car ownership changes particularly for urban residents ,-0.42146203
765,supply and demand,smartphone,data will continue to become commoditized,765, growth in available proxies and expansion of open access will increase supply ,-0.4222756
255,exhibit,exhibit,exhibit,255,second we examine which work activities currently performed by people could potentially be automated through machine learning and how that could play out across occupations ,-0.42376956
1195,predictive analytics,predictive analytics,predictive analytics,1195,second we examine which work activities currently performed by people could potentially be automated through machine learning and how that could play out across occupations ,-0.42376956
29,chombosan / shutterstock,shutter,shutterstock,29,our academic adviser was martin baily senior fellow and bernard schwartz chair in economic policy development at the brookings institution who challenged our thinking and provided valuable feedback and guidance ,-0.42532623
575,data modeling,data modeling,data modeling,575,the opportunities we highlighted were split among five categories clinical operations accounting and pricing r d new business models and public health ,-0.4259327
938,data and analytics,analytics,to integrate these new capabilities and vast patient data sets from electronic medical records into the delivery of care,938,retail social networking music and even dating have been revolutionized by the introduction of hyperscale platforms ,-0.4262481
1630,data,data richness,data richness,1630,then we combine these shares with bls employment projections by occupation for under two scenarios ,-0.42666227
555,accounting and pricing,pricing,transparency in health - care pricing,555,our report focused on integrating analytics into five key functions marketing merchandising operations supply chain management and new business models ,-0.42926884
7,"commercial , public , and social sectors",management and policy decisions,to develop a deeper understanding of the evolving global economy,7,the lauder institute at the university of pennsylvania ranked mgi the world’s number one private sector think tank in its global think tank index ,-0.43626657
1102,data and analytics,digital games,"humans can reach information overload , automated algorithms can weigh a vast amount of data . automated algorithms and decision - support tools can help to avoid errors or lapses that have serious consequences",1102,talent capable of crunching the numbers developing the algorithms and combining those skills with an understanding of financial services and the regulatory landscape will be critical ,-0.4365003
565,analytics is a multistep process within an organization the relatively slow pace of progress in many domains,analytics,adopting analytics,565,within r d design to value the use of customer and supplier data to refine existing designs and feed into new product development has had the greatest uptick in adoption particularly among carmakers ,-0.4390384
1104,transportation,transportation,safety,1104,second are incumbent institutions that are the natural owners of significant amounts of data describing the financial position and behavior of their customers ,-0.44033593
1499,exhibit,what kind of application ? [SEP],exhibit,1499,us retail has made solid progress in integrating data and analytics especially among larger players but further potential can be realized ,-0.4425039
462,medical research,medical research,crowdsourcing,462,now that those barriers have been ,-0.44354418
1014,financial services,digital native,optimize banking operations and increase revenue,1014,the other major benefits are cost reductions ,-0.44439653
439,analytical techniques and technologies,machine learning,machine learning,439,in sectors as varied as transportation hospitality and retail data and analytics assets have helped digital natives circumvent traditional barriers to entry such as physical capital investments and erect new ones digital platforms with powerful network effects ,-0.44805816
973,inn,sustainable development,sustainable development,973,data and analytics may finally be ready to take off given the rapid growth in the volume of available data the increasing recognition among all stakeholders that there is value in making better use of patient data and changing incentives ,-0.45354077
1664,y,y,y,1664,this grouping is used in a number of exhibits in this appendix ,-0.4541249
800,exhibit,exhibit,exhibit,800,providing data analytics requires industry and functional expertise and there is a limited pool of talent and organizations combining these skill sets ,-0.4565163
1127,analytics,analytics,it could save lives,1127,or they may prioritize data points that support continuing the status quo or avoiding risk stability bias ,-0.45652643
1144,data and analytics,deep,"deep learning reaches maturity , giving machines unprecedented capabilities to think , problem - solve , and understand language",1144,self driving cars for example can continuously monitor their surroundings without falling prey to fatigue or distraction which can cause human drivers to have accidents ,-0.46221587
910,"retail , social networking , music , and even dating",hyperscale matching platforms,hyperscale matching platforms could be transformative,910,traffic accidents result in about million deaths globally per year with millions more sustaining serious injuries ,-0.4633943
1050,exhibit,exhibit,exhibit,1050,second massive data integration capabilities are valuable in cases where combining unstructured and structured data from multiple sources including new external sources enables better decision making ,-0.46743825
862,range,range,range,862,these characteristics describe the status quo that prevailed in the taxi industry for many years before the arrival of uber lyft didi chuxing and similar services ,-0.4689661
329,advertising,personalize advertising,personalize advertising,329,separately a large retail bank in the united kingdom used machine learning algorithms to identify fraudulent transactions with more than percent accuracy ,-0.47021016
1192,resource allocation,resource allocation,resource allocation,1192,if the environment changes the software programs will malfunction or cease to be relevant ,-0.47216672
1654,a m r a h p,a,a,1654,transparency several studies showed the impact of pricing transparency on consumer choice and overall cost savings ,-0.47460416
54,machine learning,solve a tremendous variety of problems,to solve a tremendous variety of problems,54,leading companies are using their ,-0.4750693
